F1,F2,F3,F4,F5,F6,F7,F8,category
1,10,10,9,9,9,9,9,1
1,11,11,10,10,10,10,10,1
1,12,12,11,11,11,11,11,1
1,13,13,12,12,12,12,12,1
1,14,14,13,13,13,13,13,1
1,15,15,14,14,14,14,14,1
1,16,16,15,15,15,15,15,1
1,17,17,16,16,16,16,16,1
10,2,26,25,25,25,25,25,2
11,2,27,26,26,26,26,26,2
12,2,28,27,27,27,27,27,2
13,2,29,28,28,28,28,28,2
14,2,30,29,29,29,29,29,2
15,2,31,30,30,30,30,30,2
16,2,32,31,31,31,31,31,2
17,2,33,32,32,32,32,32,2
26,26,3,41,41,41,41,41,3
27,27,3,42,42,42,42,42,3
28,28,3,43,43,43,43,43,3
29,29,3,44,44,44,44,44,3
30,30,3,45,45,45,45,45,3
31,31,3,46,46,46,46,46,3
32,32,3,47,47,47,47,47,3
33,33,3,48,48,48,48,48,3
