F1,F2,F3,F4,F5,F6,F7,F8,category
1,1,1,1,1,1,1,1,1
1,3,2,2,2,2,2,2,1
1,4,4,3,3,3,3,3,1
1,5,5,4,4,4,4,4,1
1,6,6,5,5,5,5,5,1
1,7,7,6,6,6,6,6,1
1,8,8,7,7,7,7,7,1
1,9,9,8,8,8,8,8,1
2,2,18,17,17,17,17,17,2
3,2,19,18,18,18,18,18,2
4,2,20,19,19,19,19,19,2
5,2,21,20,20,20,20,20,2
6,2,22,21,21,21,21,21,2
7,2,23,22,22,22,22,22,2
8,2,24,23,23,23,23,23,2
9,2,25,24,24,24,24,24,2
18,18,3,33,33,33,33,33,3
19,19,3,34,34,34,34,34,3
20,20,3,35,35,35,35,35,3
21,21,3,36,36,36,36,36,3
22,22,3,37,37,37,37,37,3
23,23,3,38,38,38,38,38,3
24,24,3,39,39,39,39,39,3
25,25,3,40,40,40,40,40,3
